       #ID    TIME     MAG    MAGERR
      2785   86.1254  17.780  0.011
      2785   86.1458  17.861  0.014
      2785   86.1663  17.978  0.012
      2785   86.1867  18.055  0.010
      2785   86.2071  17.904  0.009
      2785   86.2276  17.770  0.009
      2785   86.2480  17.748  0.010
      2785   86.2684  17.867  0.011
      2785   86.3093  18.020  0.017
      2785   86.3297  17.800  0.016
      2785   86.3502  17.784  0.015
      2785   86.4115  18.260  0.017
      2785   86.4728  17.754  0.009
      2785   86.4932  17.869  0.012
      2785   86.5136  18.004  0.018
      2785   86.5341  18.243  0.021
      2785   86.6158  18.026  0.017
      2785   86.6362  18.107  0.015
      2785   86.6567  17.977  0.014
      2785   86.6771  17.836  0.011
      2785   86.6975  17.725  0.014
      2785   86.7180  17.802  0.026
      2785   86.7384  17.984  0.024
      2785   86.7997  17.721  0.014
      2785   86.8201  17.817  0.017
      2785   86.8406  17.939  0.016
      2785   86.8610  18.006  0.013
      2785   86.9223  17.807  0.013
      2785   86.9427  17.785  0.012
      2785   87.0245  17.850  0.012
      2785   87.0449  17.840  0.014
      2785   87.0653  17.949  0.021
      2785   87.2492  17.769  0.010
      2785   87.2697  17.806  0.012
      2785   87.2901  17.832  0.011
      2785   87.3105  18.030  0.013
      2785   87.3310  18.080  0.013
      2785   87.3514  17.882  0.016
      2785   87.3718  17.719  0.011
      2785   87.3923  17.659  0.009
      2785   87.4536  18.087  0.014
      2785   87.4740  17.793  0.012
      2785   87.4944  17.718  0.010
      2785   87.5149  17.747  0.009
      2785   87.5353  17.881  0.013
      2785   87.5557  17.812  0.010
      2785   87.6170  17.713  0.009
      2785   87.6375  17.721  0.010
      2785   87.6579  17.898  0.011
      2785   87.6783  17.982  0.010
      2785   87.6988  17.791  0.009
      2785   87.7192  17.676  0.008
      2785   87.8009  17.946  0.026
      2785   87.8214  17.751  0.008
      2785   87.8418  17.798  0.010
      2785   87.8622  17.749  0.008
      2785   87.8827  17.908  0.009
      2785   87.9031  17.957  0.010
      2785   87.9235  17.759  0.007
      2785   87.9440  17.640  0.008
      2785   87.9644  17.693  0.009
      2785   87.9848  17.810  0.009
      2785   88.0053  18.089  0.011
      2785   88.0257  18.075  0.017
      2785   88.0870  17.857  0.013
      2785   88.1074  17.902  0.010
      2785   88.1687  17.684  0.008
      2785   88.1892  17.683  0.007
      3345   84.7563  16.818  0.008
      3345   84.7768  16.875  0.008
      3345   84.7972  16.834  0.006
